iter	Passed	Remaining
900	14480	1591
901	14494	1574
902	14507	1558
903	14522	1542
904	14538	1526
905	14553	1510
906	14570	1494
907	14584	1477
908	14601	1461
909	14616	1445
910	14631	1429
911	14646	1413
912	14661	1397
913	14677	1381
914	14691	1364
915	14707	1348
916	14721	1332
917	14736	1316
918	14751	1300
919	14766	1284
920	14781	1267
921	14797	1251
922	14810	1235
923	14825	1219
924	14839	1203
925	14854	1187
926	14869	1170
927	14884	1154
928	14897	1138
929	14911	1122
930	14925	1106
931	14940	1090
932	14956	1074
933	14970	1057
934	14984	1041
935	14997	1025
936	15013	1009
937	15027	993
938	15042	977
939	15056	961
940	15070	944
941	15084	928
942	15097	912
943	15111	896
944	15126	880
945	15141	864
946	15155	848
947	15172	832
948	15189	816
949	15204	800
950	15221	784
951	15236	768
952	15254	752
953	15272	736
954	15289	720
955	15304	704
956	15320	688
957	15336	672
958	15353	656
959	15369	640
960	15387	624
961	15404	608
962	15421	592
963	15436	576
964	15450	560
965	15465	544
966	15479	528
967	15493	512
968	15507	496
969	15521	480
970	15536	464
971	15550	447
972	15565	431
973	15578	415
974	15593	399
975	15607	383
976	15621	367
977	15635	351
978	15650	335
979	15664	319
980	15679	303
981	15693	287
982	15707	271
983	15722	255
984	15737	239
985	15753	223
986	15768	207
987	15783	191
988	15798	175
989	15812	159
990	15827	143
991	15842	127
992	15856	111
993	15870	95
994	15884	79
995	15900	63
996	15914	47
997	15928	31
998	15942	15
999	15957	0
